Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
,Q1,1731646966.3225138,0.0022141042221228,0.0025108303861021,0.0355680950838186,7.8e-05,7.5e-05
,Q2,1731647129.571563,0.0051423581386291,0.0109597494299391,0.0427761234059361,6.6e-05,7.7e-05
,Q0,1731648602.426408,-0.0002339880871042,-0.0028418356079711,0.007710735610163,0.000109,0.00012
,Q1,1731648766.1892111,0.0021638530258965,0.0030324885334978,0.0363829876176388,0.000125,8.4e-05
,Q2,1731648929.4703908,0.0041925617217337,0.0113803027792018,0.0416742158615253,0.00011,9.3e-05
,Q0,1731650402.3187482,4.679410444552445e-05,0.3163770460116792,0.0069204263449631,8.29e-05,0.00012
,Q1,1731650566.0786,0.0022052303022341,0.0030063884141278,0.0357015194560953,9.39e-05,0.00011
,Q2,1731650729.3697736,0.0056208397745614,0.0108756679591504,0.0424197471971756,0.00011,4.7e-05
,Q0,1731652202.197124,4.602001815712242e-05,0.2985575319350539,0.0059114874715868,9.3e-05,0.00013
,Q1,1731652365.9740176,0.0020688718062373,0.0029431531687826,0.0356592244477077,0.000109,0.00013
,Q2,1731652529.2361932,0.0055942456970861,0.0116510099512041,0.0418339652297367,0.00011,7.5e-05
,Q0,1731688202.395128,-0.0003685245101512,-1.041707631128451,0.0007762765807612,1.4e-05,1e-06
,Q1,1731688366.035771,0.4319341915007513,-0.1721723976433252,0.2762679495179284,4e-07,0.0003
,Q2,1731688529.1997812,-0.0003860644847315,-1.0019109091948064,0.0007565167242927,1.0,0.0009
,Q0,1731693602.350525,1.4203362096146837,-0.1503696286608857,-0.7695463245129128,0.3,0.002
,Q1,1731693765.7382584,-2.249805843848618,-2.634446868163554,0.445365708244332,-0.8,9e-05
,Q2,1731693928.918625,-0.340756923756822,-1.0026651828023212,0.0121337340920863,-4e-05,-0.0008
,Q0,1731695402.3827248,0.8104872068644191,-2.540598847179784,0.3855480580692218,-0.9,0.0003
,Q1,1731695565.7483294,0.7603578658023444,-2.4039024195248624,0.2170795482439216,-1.0,0.0002
,Q2,1731695728.9318233,-0.0651976974674175,-1.0027845824078463,0.0011698629508042,0.3,-0.001
,Q0,1731697202.5894077,1.5295594334775764,-0.0873852183735617,0.2100331176330603,2.0,0.0001
,Q1,1731697366.0039048,-2.8074875749089703,-0.2303231362482386,-1.0827972021917067,0.3,6e-05
,Q2,1731697529.1482608,-0.1041853835887769,-1.1915305310729465,0.061026559143005,1.0,-0.03
,Q0,1731699002.654798,1.217266071093377,0.0,-0.6107119245808346,-0.002,-9e-05
,Q1,1731699166.0474818,-2.990516276873236,0.4414231043104186,0.3262771368706602,2.0,-0.0002
,Q2,1731699329.2358823,-0.0004505792852826,-1.0034510667445753,0.0129086752906448,1.0,-0.0006
,Q0,1731700802.8070529,1.6746806426787009,-0.1294099583148541,0.3115883700858644,-0.6,-0.0004
,Q1,1731700975.723281,0.330230435488648,-1.5899017283662924,0.5352222959139386,-1.0,-0.0004
,Q2,1731701175.1181576,-0.0377432749951491,-1.0084125837221127,0.0006300280643744,-0.3,-0.0003
,Q0,1731702602.6761234,1.2074751564540342,0.0670072747613583,0.4957480969323894,0.6,0.0003
,Q1,1731702766.0602791,-1.3486379636522603,-2.988940388223527,1.9888853725967373,9e-06,-0.0004
,Q2,1731702929.202992,-0.0085317841592496,-1.0018433379251372,0.0007410279307085,7e-06,-0.0005
,Q0,1731704402.6824472,1.895612283900567,-0.0918099799440312,-0.7717251585868167,-1.0,0.0003
,Q1,1731704566.056558,3.091758327344212,-0.4794559882015766,-1.7328484531904162,-1.0,0.0001
